L 2
L 3
L 3
L 4
R 1
R 2
L 3
R 3
R 3
L 1
L 3
R 2
R 3
L 3
R 4
R 3
R 3
L 1
L 4
R 4
L 2
R 5
R 1
L 5
R 1
R 3
L 5
R 2
L 2
R 2
R 1
L 1
L 3
L 3
R 4
R 5
R 4
L 1
L 189
L 2
R 2
L 5
R 5
R 45
L 3
R 4
R 77
L 1
R 1
R 194
R 2
L 5
L 3
L 2
L 1
R 5
L 3
L 3
L 5
L 5
L 5
R 2
L 1
L 2
L 3
R 2
R 5
R 4
L 2
R 3
R 5
L 2
L 2
R 3
L 3
L 2
L 1
L 3
R 5
R 4
R 3
R 2
L 1
R 2
L 5
R 4
L 5
L 4
R 4
L 2
R 5
L 3
L 2
R 4
L 1
L 2
R 2
R 3
L 2
L 5
R 1
R 1
R 3
R 4
R 1
R 2
R 4
R 5
L 3
L 5
L 3
L 3
R 5
R 4
R 1
L 3
R 1
L 3
R 3
R 3
R 3
L 1
R 3
R 4
L 5
L 3
L 1
L 5
L 4
R 4
R 1
L 4
R 3
R 3
R 5
R 4
R 3
R 3
L 1
L 2
R 1
L 4
L 4
L 3
L 4
L 3
L 5
R 2
R 4
L 2
