bot 153 bot 105 bot 10
bot 84 bot 149 bot 198
bot 32 bot 124 bot 76
bot 177 output 8 bot 19
bot 64 bot 6 bot 179
bot 115 bot 181 bot 190
bot 169 bot 21 bot 60
bot 106 bot 17 bot 84
bot 129 bot 52 bot 57
bot 208 bot 78 bot 121
bot 179 bot 101 bot 103
bot 42 bot 125 bot 67
bot 164 bot 49 bot 71
bot 175 bot 135 bot 201
bot 71 bot 207 bot 88
bot 12 output 4 bot 125
value 11 124
bot 190 bot 41 bot 171
bot 18 bot 189 bot 110
value 2 93
bot 48 bot 45 bot 68
bot 145 bot 55 bot 157
bot 151 bot 146 bot 162
bot 160 bot 39 bot 56
bot 39 bot 205 bot 79
bot 16 bot 174 bot 132
bot 152 bot 206 bot 166
bot 107 bot 160 bot 184
bot 111 output 11 bot 163
bot 24 bot 42 bot 159
bot 120 bot 30 bot 183
bot 130 bot 80 bot 146
bot 117 output 17 bot 174
value 47 107
bot 77 bot 70 bot 50
value 67 205
bot 167 bot 202 bot 33
bot 28 output 12 bot 139
bot 20 bot 147 bot 7
bot 54 bot 183 bot 175
value 71 21
bot 59 output 2 bot 47
bot 72 bot 54 bot 53
value 23 120
bot 17 bot 162 bot 149
bot 15 bot 182 bot 1
bot 90 bot 15 bot 195
bot 170 bot 158 bot 69
bot 22 bot 65 bot 62
bot 46 bot 92 bot 90
bot 69 bot 59 bot 49
bot 58 bot 140 bot 45
bot 148 bot 151 bot 17
value 17 189
bot 180 output 18 bot 134
bot 205 bot 197 bot 0
bot 97 bot 126 bot 108
bot 196 bot 2 bot 37
bot 158 output 7 bot 59
bot 5 bot 187 bot 95
bot 2 bot 164 bot 99
bot 19 output 14 bot 158
value 5 13
bot 103 bot 43 bot 75
bot 161 bot 73 bot 24
bot 99 bot 71 bot 91
bot 83 bot 179 bot 113
bot 14 bot 31 bot 104
bot 55 bot 51 bot 5
bot 127 bot 66 bot 65
bot 34 bot 137 bot 112
value 3 111
bot 135 bot 203 bot 152
bot 194 bot 107 bot 40
bot 166 bot 87 bot 26
bot 184 bot 56 bot 23
bot 116 bot 23 bot 168
bot 113 bot 103 bot 92
bot 47 output 6 bot 200
bot 65 bot 170 bot 192
bot 52 bot 83 bot 119
bot 139 output 5 bot 81
bot 142 bot 153 bot 172
value 73 30
bot 44 bot 145 bot 70
bot 133 bot 127 bot 22
bot 163 output 19 bot 117
bot 75 bot 196 bot 182
bot 136 bot 134 bot 73
value 29 185
bot 73 bot 12 bot 42
bot 31 bot 109 bot 97
bot 91 bot 88 bot 51
value 59 39
bot 110 bot 72 bot 53
bot 186 bot 38 bot 188
value 19 185
bot 154 bot 16 bot 98
bot 81 output 20 output 3
bot 92 bot 75 bot 15
bot 202 bot 74 bot 208
bot 183 bot 100 bot 135
bot 68 bot 64 bot 83
bot 198 bot 4 bot 137
